,team1,year,date,time,local_time,home_away,team2,Week,Game_Number,day,win1?,OT,penalty_yards1,penalty_yards2
67,ARI,2019,2019-12-08,4:25,2:25,,PIT,14,13,Sun,L 17-23,,75,20
68,DEN,2019,2019-12-08,1:00,12:00,@,HOU,14,13,Sun,W 38-24,,50,44
69,DET,2019,2019-12-08,1:00,3:00,@,MIN,14,13,Sun,L 7-20,,28,55
70,JAX,2019,2019-12-08,4:05,4:05,,LAC,14,13,Sun,L 10-45,,101,65
71,KAN,2019,2019-12-08,4:25,4:25,@,NWE,14,13,Sun,W 23-16,,136,25
72,MIA,2019,2019-12-08,1:00,1:00,@,NYJ,14,13,Sun,L 21-22,,48,88
73,OAK,2019,2019-12-08,4:25,1:25,,TEN,14,13,Sun,L 21-42,,20,21
74,SEA,2019,2019-12-08,8:20,5:20,@,LAR,14,13,Sun,L 12-28,,64,20
75,SFO,2019,2019-12-08,1:00,12:00,@,NOR,14,13,Sun,W 48-46,,67,50
76,WAS,2019,2019-12-08,1:00,12:00,@,GNB,14,13,Sun,L 15-20,,25,34
77,CHI,2019,2019-12-05,8:20,7:20,,DAL,14,13,Thu,W 31-24,,30,52
78,MIN,2019,2019-12-02,8:15,5:15,@,SEA,13,12,Mon,L 30-37,,30,30
79,CIN,2019,2019-12-01,1:00,1:00,,NYJ,13,12,Sun,W 22-6,,15,106
80,IND,2019,2019-12-01,1:00,1:00,,TEN,13,12,Sun,L 17-31,,40,33
81,ARI,2019,2019-12-01,4:05,2:05,,LAR,13,12,Sun,L 7-34,,7,81
82,DEN,2019,2019-12-01,4:25,2:25,,LAC,13,12,Sun,W 23-20,,25,82
84,HOU,2019,2019-12-01,8:20,7:20,,NWE,13,12,Sun,W 28-22,,79,60
85,JAX,2019,2019-12-01,1:00,1:00,,TAM,13,12,Sun,L 11-28,,121,44
86,MIA,2019,2019-12-01,1:00,1:00,,PHI,13,12,Sun,W 37-31,,59,91
87,NYG,2019,2019-12-01,1:00,1:00,,GNB,13,12,Sun,L 13-31,,31,54
88,PIT,2019,2019-12-01,1:00,1:00,,CLE,13,12,Sun,W 20-13,,65,34
89,OAK,2019,2019-12-01,4:25,3:25,@,KAN,13,12,Sun,L 9-40,,99,0
90,SFO,2019,2019-12-01,1:00,1:00,@,BAL,13,12,Sun,L 17-20,,54,23
91,WAS,2019,2019-12-01,1:00,1:00,@,CAR,13,12,Sun,W 29-21,,65,43
92,ATL,2019,2019-11-28,8:20,8:20,,NOR,13,12,Thu,L 18-26,,18,121
93,BUF,2019,2019-11-28,4:30,3:30,@,DAL,13,12,Thu,W 26-15,,53,66
94,DET,2019,2019-11-28,12:30,12:30,,CHI,13,12,Thu,L 20-24,,85,89
95,LAR,2019,2019-11-25,8:15,5:15,,BAL,12,11,Mon,L 6-45,,56,66
96,CAR,2019,2019-11-24,1:00,12:00,@,NOR,12,11,Sun,L 31-34,,25,123
97,CIN,2019,2019-11-24,1:00,1:00,,PIT,12,11,Sun,L 10-16,,79,77
98,DAL,2019,2019-11-24,4:25,4:25,@,NWE,12,11,Sun,L 9-13,,50,56
99,DEN,2019,2019-11-24,1:00,1:00,@,BUF,12,11,Sun,L 3-20,,70,90
100,GNB,2019,2019-11-24,8:20,5:20,@,SFO,12,11,Sun,L 8-37,,50,78
101,JAX,2019,2019-11-24,4:05,3:05,@,TEN,12,11,Sun,L 20-42,,104,54
102,MIA,2019,2019-11-24,1:00,1:00,@,CLE,12,11,Sun,L 24-41,,94,70
103,NYG,2019,2019-11-24,1:00,12:00,@,CHI,12,11,Sun,L 14-19,,35,40
0,NYJ,2019,2019-11-24,1:00,1:00,,OAK,12,11,Sun,W 34-3,,37,35
1,PHI,2019,2019-11-24,1:00,1:00,,SEA,12,11,Sun,L 9-17,,15,90
2,TAM,2019,2019-11-24,1:00,1:00,@,ATL,12,11,Sun,W 35-22,,51,60
3,WAS,2019,2019-11-24,1:00,1:00,,DET,12,11,Sun,W 19-16,,63,65
4,IND,2019,2019-11-21,8:20,7:20,@,HOU,12,11,Thu,L 17-20,,29,27
5,LAC,2019,2019-11-18,8:15,7:15,,KAN,11,11,Mon,L 17-24,,60,102
