,team1,home_away,team2,week,Game_Number,win1?,OT,points_1,points_2,point_differential,combined_points,spread,team1_covered_spread?,over_under,over_under_result?,pass_completions1,pass_attempts1,completion_percentage1,passing_yards1,passing_touchdowns1,interceptions1,times_sacked1,sack_yards_lost1,qbr1,rushing_attempts1,rushing_yards1,rushing_yards_per_attempt1,rushing_touchdowns1,total_yards1,offensive_plays1,yards_per_play_offense1,defensive_plays1,yards_allowed_per_defensive_play1,turnovers_lost1,time_of_possession1,pass_completions2,pass_attempts2,completion_percentage2,passing_yards2,passing_touchdowns2,interceptions2,times_sacked2,sack_yards_lost2,qbr2,rushing_attempts2,rushing_yards2,rushing_yards_per_attempt2,rushing_touchdowns2,total_yards2,turnovers2,penalty_yards1,penalty_yards2,Total_TD1,XPA_1,XPM_1,FGA1,FGM1,Sfty1,Total_TD2,XPA2,XPM2,FGA2,FGM2,Sfty2,game_date_time,time_of_possession2,team2_covered_spread?,offensive_plays2,yards_per_play_offense2,defensive_plays2,yards_allowed_per_defensive_play2,passing_yards_per_attempt1,passing_yards_per_attempt2
10,TEN,Away,NWE,18.0,18.0,1.0,0.0,20.0,13.0,7.0,33.0,4.5,1.0,45.0,-1.0,9.0,16.0,56.3,71.0,1.0,1.0,1.0,5.0,62.2,40.0,201.0,5.03,1.0,272.0,57.0,4.7719,59.0,5.2034,1.0,0.5191666666666667,20.0,37.0,54.1,209.0,0.0,1.0,0.0,0.0,59.4,22.0,98.0,4.45,1.0,307.0,2.0,25.0,28.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2020-01-04 08:15:00,0.48083333333333333,0.0,59.0,5.203389830508475,57.0,4.771929824561403,4.4375,5.648648648648648
11,ATL,Away,TAM,17.0,16.0,1.0,1.0,28.0,22.0,6.0,50.0,1.0,1.0,48.0,1.0,30.0,51.0,58.8,286.0,1.0,0.0,6.0,27.0,81.0,30.0,87.0,2.9,0.0,373.0,87.0,4.2874,46.0,7.1522,1.0,0.606111111111111,13.0,24.0,54.2,193.0,2.0,2.0,1.0,8.0,73.8,21.0,136.0,6.48,0.0,329.0,3.0,53.0,97.0,2.0,1.0,1.0,5.0,5.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,2019-12-29 01:00:00,0.39388888888888896,0.0,46.0,7.1521739130434785,87.0,4.287356321839081,5.607843137254902,8.041666666666666
12,BUF,Home,NYJ,17.0,16.0,-1.0,0.0,6.0,13.0,-7.0,19.0,1.5,0.0,37.0,-1.0,21.0,40.0,52.5,236.0,0.0,2.0,1.0,1.0,49.6,20.0,73.0,3.65,0.0,309.0,61.0,5.0656,65.0,4.1692,3.0,0.47750000000000004,23.0,36.0,63.9,185.0,1.0,1.0,2.0,14.0,74.4,27.0,86.0,3.19,0.0,271.0,1.0,40.0,13.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,2019-12-29 01:00:00,0.5225,1.0,65.0,4.1692307692307695,61.0,5.065573770491803,5.9,5.138888888888889
13,CAR,Home,NOR,17.0,16.0,-1.0,0.0,10.0,42.0,-32.0,52.0,13.5,0.0,45.0,1.0,26.0,49.0,53.1,288.0,0.0,2.0,2.0,11.0,53.8,18.0,41.0,2.28,1.0,329.0,69.0,4.7681,67.0,5.6567,3.0,0.40555555555555556,20.0,31.0,64.5,264.0,3.0,0.0,1.0,3.0,123.6,35.0,115.0,3.29,2.0,379.0,0.0,54.0,44.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,2019-12-29 01:00:00,0.5944444444444444,1.0,67.0,5.656716417910448,69.0,4.768115942028985,5.877551020408164,8.516129032258064
14,CIN,Home,CLE,17.0,16.0,1.0,0.0,33.0,23.0,10.0,56.0,2.5,1.0,44.0,1.0,16.0,28.0,57.1,182.0,1.0,1.0,1.0,8.0,73.8,39.0,179.0,4.59,3.0,361.0,68.0,5.3088,53.0,5.9057,1.0,0.5780555555555555,12.0,27.0,44.4,239.0,3.0,3.0,6.0,40.0,73.5,20.0,74.0,3.7,0.0,313.0,3.0,20.0,33.0,4.0,4.0,3.0,2.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,2019-12-29 01:00:00,0.42194444444444446,0.0,53.0,5.90566037735849,68.0,5.3088235294117645,6.5,8.851851851851851
15,ARI,Away,LAR,17.0,16.0,-1.0,0.0,24.0,31.0,-7.0,55.0,7.0,0.0,46.0,1.0,27.0,43.0,62.8,322.0,2.0,2.0,1.0,3.0,81.7,17.0,71.0,4.18,1.0,393.0,61.0,6.4426,79.0,5.3671,5.0,0.3838888888888889,29.0,45.0,64.4,311.0,3.0,0.0,1.0,8.0,106.8,33.0,113.0,3.42,1.0,424.0,0.0,63.0,91.0,3.0,3.0,3.0,1.0,1.0,0.0,4.0,4.0,4.0,2.0,1.0,0.0,2019-12-29 04:25:00,0.616111111111111,1.0,79.0,5.367088607594937,61.0,6.442622950819672,7.488372093023256,6.911111111111111
16,DET,Home,GNB,17.0,16.0,-1.0,0.0,20.0,23.0,-3.0,43.0,13.5,1.0,44.0,-1.0,13.0,30.0,43.3,134.0,1.0,1.0,1.0,7.0,54.0,25.0,171.0,6.84,1.0,305.0,56.0,5.4464,86.0,5.0233,1.0,0.4177777777777778,27.0,55.0,49.1,312.0,2.0,1.0,1.0,11.0,71.2,30.0,120.0,4.0,0.0,432.0,1.0,50.0,97.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,3.0,0.0,2019-12-29 01:00:00,0.5822222222222222,0.0,86.0,5.023255813953488,56.0,5.446428571428571,4.466666666666667,5.672727272727273
17,HOU,Home,TEN,17.0,16.0,-1.0,0.0,14.0,35.0,-21.0,49.0,10.0,0.0,43.0,1.0,21.0,36.0,58.3,192.0,0.0,1.0,4.0,33.0,61.3,25.0,109.0,4.36,2.0,301.0,65.0,4.6308,60.0,7.7833,1.0,0.5275000000000001,14.0,21.0,66.7,222.0,2.0,0.0,0.0,0.0,133.4,39.0,245.0,6.28,3.0,467.0,0.0,35.0,37.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,2019-12-29 04:25:00,0.4724999999999999,1.0,60.0,7.783333333333333,65.0,4.630769230769231,5.333333333333333,10.571428571428571
18,JAX,Home,IND,17.0,16.0,1.0,0.0,38.0,20.0,18.0,58.0,5.0,1.0,41.5,1.0,27.0,39.0,69.2,286.0,3.0,1.0,3.0,9.0,105.3,24.0,67.0,2.79,0.0,353.0,66.0,5.3485,55.0,5.0,1.0,0.5647222222222222,12.0,25.0,48.0,143.0,0.0,0.0,3.0,19.0,65.9,27.0,132.0,4.89,2.0,275.0,2.0,27.0,36.0,4.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2019-12-29 04:25:00,0.43527777777777776,0.0,55.0,5.0,66.0,5.348484848484849,7.333333333333333,5.72
19,MIA,Away,NWE,17.0,16.0,1.0,0.0,27.0,24.0,3.0,51.0,17.5,1.0,46.0,1.0,29.0,44.0,65.9,326.0,1.0,0.0,2.0,14.0,95.5,22.0,63.0,2.86,1.0,389.0,68.0,5.7206,57.0,6.1754,0.0,0.5641666666666667,16.0,29.0,55.2,217.0,2.0,1.0,1.0,4.0,87.9,27.0,135.0,5.0,1.0,352.0,2.0,35.0,54.0,3.0,3.0,3.0,2.0,2.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,2019-12-29 01:00:00,0.4358333333333333,0.0,57.0,6.175438596491228,68.0,5.720588235294118,7.409090909090909,7.482758620689655
20,MIN,Home,CHI,17.0,16.0,-1.0,0.0,19.0,21.0,-2.0,40.0,5.0,1.0,36.5,1.0,12.0,21.0,57.1,126.0,0.0,2.0,0.0,0.0,35.1,26.0,174.0,6.69,1.0,300.0,47.0,6.383,75.0,4.4933,3.0,0.3722222222222222,26.0,37.0,70.3,179.0,0.0,0.0,4.0,28.0,80.8,34.0,158.0,4.65,1.0,337.0,1.0,40.0,34.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,2019-12-29 01:00:00,0.6277777777777778,0.0,75.0,4.493333333333333,47.0,6.382978723404255,6.0,4.837837837837838
21,NYG,Home,PHI,17.0,16.0,-1.0,0.0,17.0,34.0,-17.0,51.0,4.0,0.0,44.0,1.0,28.0,47.0,59.6,275.0,1.0,1.0,4.0,26.0,74.3,21.0,122.0,5.81,1.0,397.0,72.0,5.5139,72.0,5.5556,2.0,0.4763888888888889,23.0,40.0,57.5,279.0,1.0,0.0,1.0,10.0,87.4,31.0,121.0,3.9,3.0,400.0,0.0,48.0,55.0,2.0,2.0,2.0,1.0,1.0,0.0,4.0,4.0,4.0,2.0,2.0,0.0,2019-12-29 04:25:00,0.523611111111111,1.0,72.0,5.555555555555555,72.0,5.513888888888889,5.851063829787234,6.975
22,OAK,Away,DEN,17.0,16.0,-1.0,0.0,15.0,16.0,-1.0,31.0,5.5,1.0,41.5,-1.0,29.0,46.0,63.0,380.0,1.0,0.0,2.0,11.0,96.3,22.0,97.0,4.41,0.0,477.0,70.0,6.8143,57.0,4.1754,1.0,0.55,17.0,28.0,60.7,168.0,1.0,0.0,2.0,9.0,89.6,27.0,70.0,2.59,0.0,238.0,1.0,107.0,61.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,2019-12-29 04:25:00,0.44999999999999996,0.0,57.0,4.175438596491228,70.0,6.814285714285714,8.26086956521739,6.0
23,BAL,Home,PIT,17.0,16.0,1.0,0.0,28.0,10.0,18.0,38.0,2.0,1.0,35.0,1.0,11.0,21.0,52.4,81.0,0.0,1.0,3.0,15.0,42.0,44.0,223.0,5.07,1.0,304.0,68.0,4.4706,50.0,3.36,2.0,0.6575,9.0,25.0,36.0,77.0,0.0,0.0,2.0,18.0,44.9,23.0,91.0,3.96,1.0,168.0,2.0,35.0,47.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2019-12-29 04:25:00,0.3425,0.0,50.0,3.36,68.0,4.470588235294118,3.857142857142857,3.08
24,LAC,Away,KAN,17.0,16.0,-1.0,0.0,21.0,31.0,-10.0,52.0,10.0,0.0,46.0,1.0,31.0,46.0,67.4,258.0,2.0,2.0,3.0,23.0,78.0,25.0,108.0,4.32,1.0,366.0,74.0,4.9459,48.0,7.0,2.0,0.601111111111111,16.0,25.0,64.0,174.0,1.0,1.0,0.0,0.0,81.1,23.0,162.0,7.04,2.0,336.0,1.0,40.0,39.0,3.0,3.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,0.0,2019-12-29 01:00:00,0.39888888888888896,1.0,48.0,7.0,74.0,4.945945945945946,5.608695652173913,6.96
25,SEA,Home,SFO,17.0,16.0,-1.0,0.0,21.0,26.0,-5.0,47.0,3.5,0.0,47.0,0.0,25.0,40.0,62.5,223.0,2.0,0.0,1.0,10.0,94.1,30.0,125.0,4.17,1.0,348.0,71.0,4.9014,48.0,8.2917,0.0,0.5488888888888889,18.0,22.0,81.8,270.0,0.0,0.0,2.0,15.0,117.8,24.0,128.0,5.33,3.0,398.0,0.0,29.0,57.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,2019-12-29 08:20:00,0.45111111111111113,1.0,48.0,8.291666666666666,71.0,4.901408450704225,5.575,12.272727272727273
26,WAS,Away,DAL,17.0,16.0,-1.0,0.0,16.0,47.0,-31.0,63.0,12.5,0.0,47.5,1.0,18.0,37.0,48.6,183.0,1.0,1.0,2.0,23.0,61.0,20.0,88.0,4.4,0.0,271.0,59.0,4.5932,72.0,7.1806,2.0,0.4291666666666667,23.0,33.0,69.7,294.0,4.0,0.0,3.0,9.0,136.9,36.0,223.0,6.19,1.0,517.0,1.0,10.0,81.0,1.0,1.0,1.0,3.0,3.0,0.0,5.0,5.0,5.0,4.0,4.0,0.0,2019-12-29 04:25:00,0.5708333333333333,1.0,72.0,7.180555555555555,59.0,4.593220338983051,4.945945945945946,8.909090909090908
27,GNB,Away,MIN,16.0,15.0,1.0,0.0,23.0,10.0,13.0,33.0,4.0,1.0,47.0,-1.0,26.0,40.0,65.0,199.0,0.0,1.0,3.0,17.0,66.6,32.0,184.0,5.75,2.0,383.0,75.0,5.1067,53.0,2.6226,3.0,0.6255555555555555,16.0,32.0,50.0,82.0,1.0,1.0,5.0,40.0,53.6,16.0,57.0,3.56,0.0,139.0,1.0,20.0,30.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2019-12-23 08:15:00,0.37444444444444447,0.0,53.0,2.6226415094339623,75.0,5.1066666666666665,4.975,2.5625
