,Unnamed: 0,Unnamed: 0.1,team,opponent,week,home,away,points_for,points_against,over_under,yards_per_play_offense,yards_allowed_per_defensive_play,total_yards,total_yards_allowed,turnovers_lost,sacks,times_sacked,win?,loss?,covered_spread?,opponent_covered_spread?,game_id,total_wins,total_losses,spread,opponent_spread,favorite,underdog,rushing_attempts,rushing_yards,rushing_yards_per_attempt,time_of_possession,penalty_yards,passing_yards_per_attempt,FGA,FGM
24,24,24,RAIDERS,BRONCOS,1,1,0,24,16,42.5,6.6111,6.0351,357,344,0,3,0,1,0,1,0,252,1,0,3.0,-3.0,0,1,28.0,98.0,3.5,0.5458333333333333,62.0,9.961538461538463,1.0,1.0
25,25,25,EAGLES,REDSKINS,1,1,0,32,27,44.0,6.14084507042254,6.862068965517241,436,398,0,1,1,1,0,0,1,265,1,0,-10.5,10.5,1,0,31.0,123.0,3.97,0.5741666666666667,55.0,8.025641025641027,1.0,1.0
26,26,26,STEELERS,PATRIOTS,1,0,1,3,33,49.0,5.0492,6.9403,308,465,1,1,1,0,1,0,1,263,0,1,5.5,-5.5,0,1,13.0,32.0,2.46,0.4575,54.0,5.872340425531916,1.0,1.0
27,27,27,SEAHAWKS,BENGALS,1,1,0,21,20,44.0,4.7346938775510194,6.128571428571429,232,429,1,5,4,1,0,0,1,256,1,0,-10.0,10.0,1,0,25.0,72.0,2.88,0.4027777777777778,55.0,8.0,0.0,0.0
28,28,28,49ERS,BUCCANEERS,1,0,1,31,17,51.0,4.2667,4.5385,256,295,2,3,1,1,0,1,0,264,1,0,1.0,-1.0,0,1,32.0,98.0,3.06,0.5011111111111111,87.0,5.851851851851853,4.0,3.0
29,29,29,BUCCANEERS,49ERS,1,1,0,17,31,51.0,4.53846153846154,4.26666666666667,295,256,4,1,3,0,1,0,1,264,0,1,-1.0,1.0,1,0,26.0,121.0,4.65,0.498888888888889,87.0,4.833333333333333,1.0,1.0
30,30,30,TITANS,BROWNS,1,0,1,43,13,44.0,6.0536,5.4921,339,346,0,5,4,1,0,1,0,262,1,0,5.5,-5.5,0,1,28.0,123.0,4.39,0.4883333333333333,54.0,9.0,2.0,2.0
31,31,31,REDSKINS,EAGLES,1,0,1,27,32,44.0,6.8621,6.1408,398,436,0,1,1,0,1,1,0,265,0,1,10.5,-10.5,0,1,13.0,28.0,2.15,0.4258333333333333,96.0,8.409090909090908,2.0,2.0
32,32,32,CARDINALS,RAVENS,2,0,1,17,23,46.0,6.462999999999999,6.1111,349,440,0,2,3,0,1,1,0,238,0,1,13.0,-13.0,0,1,11.0,20.0,1.82,0.37277777777777776,70.0,8.225,3.0,3.0
33,33,33,FALCONS,EAGLES,2,1,0,24,20,53.0,6.0164,3.9722,367,286,3,3,1,1,0,1,0,236,1,1,1.0,-1.0,0,1,17.0,57.0,3.35,0.4516666666666666,58.0,7.209302325581397,2.0,1.0
34,34,34,RAVENS,CARDINALS,2,1,0,23,17,46.0,6.111111111111112,6.46296296296296,440,349,0,3,2,1,0,0,1,238,2,0,-13.0,13.0,1,0,33.0,182.0,5.52,0.6272222222222222,62.0,6.972972972972973,3.0,3.0
35,35,35,BILLS,GIANTS,2,0,1,28,14,44.5,5.7910447761194,5.60606060606061,388,370,0,1,3,1,0,1,0,245,2,0,-2.0,2.0,1,0,34.0,151.0,4.44,0.5438888888888889,65.0,7.9,0.0,0.0
