,rk,team1,year,date,time,local_time,home_away,team2,Week,Game_Number,day,win1?,OT,points_1,points_2,point_differential,combined_points,spread,team1_covered_spread?,over_under,over_under_result?,pass_completions1,pass_attempts1,completion_percentage1,passing_yards1,passing_touchdowns1,interceptions1,times_sacked1,sack_yards_lost1,qbr1,rushing_attempts1,rushing_yards1,rushing_yards_per_attempt1,rushing_touchdowns1,total_yards1,offensive_plays1,yards_per_play_offense1,defensive_plays1,yards_allowed_per_defensive_play1,turnovers_lost1,time_of_possession1,game_duration
94,91,DET,2019,2019-11-28,12:30,12:30,Home,CHI,13,12,Thu,L 20-24,,20,24,-4,44,5.5,covered,37.5,over,22,38,57.9,259,2,1,2,21,85.3,27,105,3.89,0,364,67,5.4328,62,6.7581,1,29:10,3:23
95,92,LAR,2019,2019-11-25,8:15,5:15,Home,BAL,12,11,Mon,L 6-45,,6,45,-39,51,3.5,not covered,47.0,over,26,37,70.3,199,0,2,2,13,60.5,9,22,2.44,0,221,48,4.6042,74,6.4865,2,20:04,2:54
96,93,CAR,2019,2019-11-24,1:00,12:00,Away,NOR,12,11,Sun,L 31-34,,31,34,-3,65,10.0,covered,46.0,over,23,36,63.9,230,3,0,4,26,109.7,29,121,4.17,1,351,69,5.0870,59,7.0847,1,31:33,3:26
97,94,CIN,2019,2019-11-24,1:00,1:00,Home,PIT,12,11,Sun,L 10-16,,10,16,-6,26,5.5,not covered,37.5,under,12,26,46.2,158,1,0,4,34,78.7,21,86,4.10,0,244,51,4.7843,68,4.9706,2,25:20,3:08
98,95,DAL,2019,2019-11-24,4:25,4:25,Away,NWE,12,11,Sun,L 9-13,,9,13,-4,22,5.5,covered,44.0,under,19,33,57.6,212,0,1,0,0,64.2,26,109,4.19,0,321,59,5.4407,66,4.2727,1,30:22,3:06
99,96,DEN,2019,2019-11-24,1:00,1:00,Away,BUF,12,11,Sun,L 3-20,,3,20,-17,23,3.5,not covered,37.0,under,10,25,40.0,49,0,1,4,33,31.2,17,85,5.00,0,134,46,2.9130,73,5.8082,1,24:56,2:57
100,97,GNB,2019,2019-11-24,8:20,5:20,Away,SFO,12,11,Sun,L 8-37,,8,37,-29,45,3.0,not covered,48.0,under,23,37,62.2,81,1,0,5,38,75.4,28,117,4.18,0,198,70,2.8286,45,7.5333,1,35:16,2:56
101,98,JAX,2019,2019-11-24,4:05,3:05,Away,TEN,12,11,Sun,L 20-42,,20,42,-22,62,4.5,not covered,42.0,over,32,48,66.7,252,0,0,3,20,79.5,27,117,4.33,2,369,78,4.7308,52,9.0577,1,36:56,3:01
102,99,MIA,2019,2019-11-24,1:00,1:00,Away,CLE,12,11,Sun,L 24-41,,24,41,-17,65,11.0,not covered,45.5,over,21,39,53.8,192,2,2,4,22,63.2,20,92,4.60,1,284,63,4.5079,67,6.9701,2,23:54,3:09
103,100,NYG,2019,2019-11-24,1:00,12:00,Away,CHI,12,11,Sun,L 14-19,,14,19,-5,33,6.0,covered,41.0,under,21,36,58.3,134,2,0,1,16,84.7,21,109,5.19,0,243,58,4.1897,69,4.8551,1,26:49,3:02
0,101,NYJ,2019,2019-11-24,1:00,1:00,Home,OAK,12,11,Sun,W 34-3,,34,3,31,37,3.5,covered,45.0,under,20,29,69.0,313,2,0,1,2,127.5,30,88,2.93,1,401,60,6.6833,57,3.6491,1,31:30,2:52
1,102,PHI,2019,2019-11-24,1:00,1:00,Home,SEA,12,11,Sun,L 9-17,,9,17,-8,26,1.0,not covered,45.5,under,33,45,73.3,238,1,2,3,18,74.1,23,106,4.61,0,344,71,4.8451,57,6.1053,5,31:55,3:12
2,103,TAM,2019,2019-11-24,1:00,1:00,Away,ATL,12,11,Sun,W 35-22,,35,22,13,57,3.5,covered,51.5,over,18,28,64.3,313,3,2,0,0,108.2,34,133,3.91,1,446,62,7.1935,80,4.2125,2,28:22,3:22
3,104,WAS,2019,2019-11-24,1:00,1:00,Home,DET,12,11,Sun,W 19-16,,19,16,3,35,4.0,covered,39.0,under,13,30,43.3,144,0,1,3,12,44.3,24,86,3.58,0,230,57,4.0351,71,5.1268,2,26:30,3:15
4,105,IND,2019,2019-11-21,8:20,7:20,Away,HOU,12,11,Thu,L 17-20,,17,20,-3,37,3.5,covered,46.0,under,16,25,64.0,121,0,0,1,8,75.6,39,175,4.49,2,296,65,4.5538,55,7.2000,,33:17,2:58
5,106,LAC,2019,2019-11-18,8:15,7:15,Home,KAN,11,11,Mon,L 17-24,,17,24,-7,41,5.5,not covered,52.5,under,28,52,53.8,345,1,4,2,8,49.0,19,93,4.89,0,438,73,6.0000,60,5.1667,4,31:02,3:22
6,107,ATL,2019,2019-11-17,1:00,1:00,Away,CAR,11,10,Sun,W 29-3,,29,3,26,32,3.5,covered,49.0,under,22,32,68.8,295,1,0,3,19,108.2,26,54,2.08,1,349,61,5.7213,70,4.9571,,31:26,3:04
7,108,CHI,2019,2019-11-17,8:20,5:20,Away,LAR,11,10,Sun,L 7-17,,7,17,-10,24,5.0,not covered,40.0,under,25,47,53.2,193,1,1,3,6,61.7,24,74,3.08,0,267,74,3.6081,52,5.4423,1,32:44,2:52
8,109,CIN,2019,2019-11-17,4:25,1:25,Away,OAK,11,10,Sun,L 10-17,,10,17,-7,27,13.0,covered,48.0,under,13,31,41.9,73,0,1,5,42,36.1,22,173,7.86,1,246,58,4.2414,66,5.8485,2,24:38,3:04
9,110,ARI,2019,2019-11-17,4:05,1:05,Away,SFO,11,11,Sun,L 26-36,,26,36,-10,62,10.0,push,44.0,over,24,33,72.7,131,2,0,4,19,99.4,25,135,5.40,1,266,62,4.2903,66,6.6970,2,31:23,3:20
10,111,DEN,2019,2019-11-17,1:00,3:00,Away,MIN,11,10,Sun,L 23-27,,23,27,-4,50,10.0,covered,40.5,over,18,40,45.0,270,1,1,2,8,65.6,33,124,3.76,1,394,75,5.2533,58,5.5345,1,36:43,3:15
11,112,DET,2019,2019-11-17,1:00,1:00,Home,DAL,11,10,Sun,L 27-35,,27,35,-8,62,7.5,not covered,46.5,over,15,26,57.7,191,2,0,3,18,106.4,28,121,4.32,2,312,57,5.4737,71,7.1690,,29:06,3:14
12,113,HOU,2019,2019-11-17,1:00,1:00,Away,BAL,11,10,Sun,L 7-41,,7,41,-34,48,4.0,not covered,51.0,under,18,30,60.0,110,0,1,7,59,53.5,20,122,6.10,1,232,57,4.0702,64,7.6719,2,23:41,2:56
13,114,JAX,2019,2019-11-17,1:00,1:00,Away,IND,11,10,Sun,L 13-33,,13,33,-20,46,2.5,not covered,41.5,over,33,47,70.2,279,2,1,2,17,90.6,9,29,3.22,0,308,58,5.3103,63,6.1746,1,26:08,3:00
14,115,MIA,2019,2019-11-17,1:00,1:00,Home,BUF,11,10,Sun,L 20-37,,20,37,-17,57,7.0,not covered,41.5,over,32,45,71.1,280,0,0,7,43,87.3,13,23,1.77,2,303,65,4.6615,67,6.3284,1,29:51,3:20
15,116,NYJ,2019,2019-11-17,1:00,1:00,Away,WAS,11,10,Sun,W 34-17,,34,17,17,51,1.0,covered,37.5,over,19,31,61.3,285,4,1,2,8,117.6,33,115,3.48,1,400,66,6.0606,61,3.6885,2,32:19,3:16
16,117,PHI,2019,2019-11-17,4:25,4:25,Home,NWE,11,10,Sun,L 10-17,,10,17,-7,27,4.5,not covered,45.0,under,20,40,50.0,174,1,0,5,40,70.2,21,81,3.86,0,255,66,3.8636,71,4.1972,1,31:35,3:18
17,118,TAM,2019,2019-11-17,1:00,1:00,Home,NOR,11,10,Sun,L 17-34,,17,34,-17,51,5.0,not covered,50.5,over,30,51,58.8,298,2,4,2,15,55.8,8,36,4.50,0,334,61,5.4754,64,5.1250,4,23:00,3:02
18,119,PIT,2019,2019-11-14,8:20,8:20,Away,CLE,11,10,Thu,L 7-21,,7,21,-14,28,3.0,not covered,41.5,under,23,44,52.3,178,1,4,4,43,32.2,16,58,3.63,0,236,64,3.6875,68,4.3088,4,26:02,3:26
19,120,SEA,2019,2019-11-11,8:15,5:15,Away,SFO,10,10,Mon,W 27-24,OT,27,24,3,51,6.5,covered,47.0,over,24,34,70.6,189,1,1,5,43,81.6,34,147,4.32,1,336,73,4.6027,78,3.8718,4,35:19,3:49
21,121,ATL,2019,2019-11-10,1:00,12:00,Away,NOR,10,9,Sun,W 26-9,,26,9,17,35,14.0,covered,51.5,under,20,35,57.1,174,2,1,1,8,77.6,34,143,4.21,0,317,70,4.5286,63,4.9206,1,33:46,3:10
22,122,BUF,2019,2019-11-10,1:00,1:00,Away,CLE,10,9,Sun,L 16-19,,16,19,-3,35,3.0,push,42.0,under,22,41,53.7,260,0,0,1,6,73.2,20,84,4.20,2,344,62,5.5484,66,5.5758,,28:14,3:14
23,123,CAR,2019,2019-11-10,4:25,3:25,Away,GNB,10,9,Sun,L 16-24,,16,24,-8,40,5.0,not covered,49.0,under,28,43,65.1,281,1,1,3,26,81.6,23,120,5.22,1,401,69,5.8116,58,6.6897,2,28:38,3:17
24,124,CIN,2019,2019-11-10,1:00,1:00,Home,BAL,10,9,Sun,L 13-49,,13,49,-36,62,10.5,not covered,44.0,over,16,30,53.3,150,1,1,2,17,64.6,40,157,3.93,0,307,72,4.2639,46,8.2391,3,36:11,2:50
25,125,ARI,2019,2019-11-10,1:00,1:00,Away,TAM,10,10,Sun,L 27-30,,27,30,-3,57,5.5,covered,51.0,over,28,45,62.2,342,3,1,2,8,98.6,18,75,4.17,0,417,65,6.4154,78,5.8590,2,23:57,3:23
26,126,DET,2019,2019-11-10,1:00,12:00,Away,CHI,10,9,Sun,L 13-20,,13,20,-7,33,6.0,not covered,38.0,under,27,46,58.7,259,1,1,2,10,72.6,27,98,3.63,0,357,75,4.7600,52,4.3462,1,31:54,3:07
27,127,MIA,2019,2019-11-10,4:05,4:05,Away,IND,10,9,Sun,W 16-12,,16,12,4,28,11.0,covered,44.5,under,21,33,63.6,159,0,1,3,10,62.6,26,70,2.69,1,229,62,3.6935,69,4.3478,2,31:28,3:02
28,128,MIN,2019,2019-11-10,8:20,7:20,Away,DAL,10,10,Sun,W 28-24,,28,24,4,52,3.5,covered,48.5,over,23,32,71.9,211,2,0,1,9,110.3,36,153,4.25,1,364,69,5.2754,70,6.3286,,33:27,3:02
29,129,NYJ,2019,2019-11-10,1:00,1:00,Home,NYG,10,9,Sun,W 34-27,,34,27,7,61,3.0,covered,43.0,over,19,30,63.3,218,1,0,2,12,96.2,29,76,2.62,2,294,61,4.8197,63,4.4603,,30:44,3:11
30,130,TEN,2019,2019-11-10,1:00,12:00,Home,KAN,10,10,Sun,W 35-32,,35,32,3,67,5.0,covered,49.0,over,13,19,68.4,146,2,0,4,35,126.2,26,225,8.65,2,371,49,7.5714,78,6.7949,1,22:08,3:12
31,131,PIT,2019,2019-11-10,4:25,4:25,Home,LAR,10,9,Sun,W 17-12,,17,12,5,29,4.0,covered,43.0,under,22,38,57.9,231,1,0,3,11,84.4,27,42,1.56,0,273,68,4.0147,69,4.4348,2,31:40,3:32
32,132,OAK,2019,2019-11-07,8:20,5:20,Home,LAC,10,9,Thu,W 26-24,,26,24,2,50,1.0,covered,49.0,over,21,31,67.7,200,1,0,3,18,96.2,21,78,3.71,1,278,55,5.0545,66,4.7727,,25:50,3:13
33,133,NYG,2019,2019-11-04,8:15,8:15,Home,DAL,9,9,Mon,L 18-37,,18,37,-19,55,6.5,not covered,48.5,over,26,41,63.4,171,1,1,5,39,70.3,22,100,4.55,0,271,68,3.9853,65,6.6000,3,31:56,3:14
34,134,CHI,2019,2019-11-03,1:00,1:00,Away,PHI,9,8,Sun,L 14-22,,14,22,-8,36,5.0,not covered,41.0,under,10,21,47.6,102,0,0,3,23,62.0,18,62,3.44,2,164,42,3.9048,78,4.7821,1,19:42,3:02
35,135,IND,2019,2019-11-03,1:00,1:00,Away,PIT,9,8,Sun,L 24-26,,24,26,-2,50,1.0,not covered,39.5,over,21,31,67.7,189,3,1,5,38,102.8,29,139,4.79,0,328,65,5.0462,61,4.4754,3,30:32,3:03
36,136,DEN,2019,2019-11-03,4:25,2:25,Home,CLE,9,9,Sun,W 24-19,,24,19,5,43,4.0,covered,39.0,over,12,20,60.0,175,2,0,3,18,121.9,20,127,6.35,1,302,43,7.0233,73,4.8082,1,24:30,3:08
37,137,DET,2019,2019-11-03,4:05,1:05,Away,OAK,9,8,Sun,L 24-31,,24,31,-7,55,2.5,not covered,51.5,over,26,41,63.4,383,3,1,2,23,108.1,19,90,4.74,0,473,62,7.6290,68,6.6176,2,27:10,3:03
38,138,HOU,2019,2019-11-03,9:30,2:30,Away,JAX,9,9,Sun,W 26-3,,26,3,23,29,1.0,covered,46.0,under,22,28,78.6,194,2,0,1,7,119.3,34,216,6.35,1,410,63,6.5079,66,5.3939,1,32:33,2:57
39,139,KAN,2019,2019-11-03,1:00,12:00,Home,MIN,9,9,Sun,W 26-23,,26,23,3,49,5.5,covered,46.0,over,25,35,71.4,230,1,0,5,45,98.5,18,147,8.17,1,377,58,6.5000,66,4.6667,1,31:48,3:07
40,140,MIA,2019,2019-11-03,1:00,1:00,Home,NYJ,9,8,Sun,W 26-18,,26,18,8,44,3.5,covered,42.5,over,24,36,66.7,266,3,0,4,22,116.2,24,50,2.08,0,316,64,4.9375,63,5.0952,,31:14,3:19
42,141,TEN,2019,2019-11-03,1:00,1:00,Away,CAR,9,9,Sun,L 20-30,,20,30,-10,50,3.5,not covered,43.0,over,27,39,69.2,310,1,2,4,21,80.1,21,121,5.76,2,431,64,6.7344,68,5.4412,3,26:43,3:17
43,142,BAL,2019,2019-11-03,8:20,8:20,Home,NWE,9,8,Sun,W 37-20,,37,20,17,57,3.0,covered,44.5,over,17,23,73.9,162,1,0,1,1,107.5,41,210,5.12,3,372,65,5.7231,65,5.2615,2,37:01,2:59
44,143,LAC,2019,2019-11-03,4:25,1:25,Home,GNB,9,9,Sun,W 26-11,,26,11,15,37,4.0,covered,50.0,under,21,28,75.0,283,0,0,2,11,106.7,38,159,4.18,2,442,68,6.5000,49,3.7551,,35:51,2:53
45,144,TAM,2019,2019-11-03,4:05,1:05,Away,SEA,9,8,Sun,L 34-40,OT,34,40,-6,74,4.0,not covered,51.0,over,29,44,65.9,319,2,0,2,16,102.4,26,99,3.81,2,418,72,5.8056,68,7.2353,1,35:25,3:29
46,145,WAS,2019,2019-11-03,1:00,1:00,Away,BUF,9,9,Sun,L 9-24,,9,24,-15,33,10.5,not covered,37.0,under,15,22,68.2,116,0,0,4,28,80.9,23,127,5.52,0,243,49,4.9592,61,4.3934,,28:13,2:40
47,146,ARI,2019,2019-10-31,8:20,6:20,Home,SFO,9,9,Thu,L 25-28,,25,28,-3,53,10.5,covered,43.5,over,17,24,70.8,204,2,0,3,37,124.3,23,153,6.65,1,357,50,7.1400,69,5.9565,,25:29,3:10
48,147,MIA,2019,2019-10-28,8:15,8:15,Away,PIT,8,7,Mon,L 14-27,,14,27,-13,41,14.0,covered,44.0,under,21,34,61.8,170,2,2,4,20,69.5,19,60,3.16,0,230,57,4.0351,67,5.8806,4,24:42,3:15
49,148,ATL,2019,2019-10-27,1:00,1:00,Home,SEA,8,8,Sun,L 20-27,,20,27,-7,47,7.5,covered,48.5,under,39,52,75.0,441,1,1,2,19,98.3,17,69,4.06,1,510,71,7.1831,55,5.8545,3,30:47,3:00
50,149,CAR,2019,2019-10-27,4:05,1:05,Away,SFO,8,7,Sun,L 13-51,,13,51,-38,64,4.5,not covered,41.0,over,19,37,51.4,100,0,3,7,58,23.6,19,130,6.84,1,230,63,3.6508,63,6.1587,3,26:59,3:04
51,150,CIN,2019,2019-10-27,1:00,6:00,Away,LAR,8,8,Sun,L 10-24,,10,24,-14,34,12.0,not covered,48.5,under,32,52,61.5,297,1,0,5,32,83.6,22,104,4.73,0,401,79,5.0759,57,8.2456,,32:43,3:05
52,151,CLE,2019,2019-10-27,4:25,4:25,Away,NWE,8,7,Sun,L 13-27,,13,27,-14,40,9.5,not covered,43.0,under,20,31,64.5,151,1,1,5,43,73.5,22,159,7.23,0,310,58,5.3448,66,4.8182,3,27:45,3:11
53,152,ARI,2019,2019-10-27,1:00,12:00,Away,NOR,8,8,Sun,L 9-31,,9,31,-22,40,12.5,not covered,47.5,under,19,34,55.9,197,0,0,4,23,72.8,11,40,3.64,0,237,49,4.8367,72,7.0833,,22:01,2:55
54,153,DEN,2019,2019-10-27,1:00,1:00,Away,IND,8,8,Sun,L 13-15,,13,15,-2,28,6.0,covered,41.0,under,20,32,62.5,166,0,0,3,8,75.8,28,113,4.04,1,279,63,4.4286,60,5.3000,,30:44,3:14
55,154,KAN,2019,2019-10-27,8:20,7:20,Home,GNB,8,8,Sun,L 24-31,,24,31,-7,55,5.0,not covered,48.0,over,24,36,66.7,249,2,0,2,18,105.0,20,88,4.40,1,337,58,5.8103,64,5.8438,1,26:47,3:07
56,155,NYG,2019,2019-10-27,1:00,1:00,Away,DET,8,8,Sun,L 26-31,,26,31,-5,57,6.5,covered,49.0,over,28,41,68.3,290,4,0,3,32,121.0,24,80,3.33,0,370,68,5.4412,61,6.1475,1,30:47,3:02
57,156,NYJ,2019,2019-10-27,1:00,1:00,Away,JAX,8,7,Sun,L 15-29,,15,29,-14,44,7.0,not covered,39.5,over,21,30,70.0,167,2,3,8,51,66.2,14,46,3.29,0,213,52,4.0962,70,5.5571,3,26:39,3:15
58,157,PHI,2019,2019-10-27,1:00,1:00,Away,BUF,8,8,Sun,W 31-13,,31,13,18,44,1.0,covered,39.5,over,17,24,70.8,153,1,0,3,19,101.6,41,218,5.32,3,371,68,5.4559,58,4.3621,1,35:57,3:01
59,158,OAK,2019,2019-10-27,4:25,3:25,Away,HOU,8,7,Sun,L 24-27,,24,27,-3,51,5.0,covered,52.0,under,18,30,60.0,285,3,0,0,0,125.0,23,93,4.04,0,378,53,7.1321,74,5.2432,,24:07,3:08
60,159,LAC,2019,2019-10-27,1:00,12:00,Away,CHI,8,8,Sun,W 17-16,,17,16,1,33,3.5,covered,41.0,under,19,29,65.5,195,1,1,1,6,81.8,12,36,3.00,1,231,42,5.5000,77,5.0390,1,22:00,2:56
61,160,TAM,2019,2019-10-27,1:00,12:00,Away,TEN,8,7,Sun,L 23-27,,23,27,-4,50,2.0,not covered,45.5,over,21,43,48.8,283,2,2,3,18,66.3,30,106,3.53,0,389,76,5.1184,57,4.3158,4,31:34,3:22
63,161,WAS,2019,2019-10-24,8:20,10:20,Away,MIN,8,8,Thu,L 9-19,,9,19,-10,28,16.5,covered,42.0,under,15,21,71.4,131,0,1,4,32,67.8,16,85,5.31,0,216,41,5.2683,67,6.4776,2,23:24,2:39
64,162,NYJ,2019,2019-10-21,8:15,8:15,Home,NWE,7,6,Mon,L 0-33,,0,33,-33,33,9.5,not covered,43.0,under,11,32,34.4,73,0,4,1,13,3.6,20,81,4.05,0,154,53,2.9057,79,4.0886,6,21:33,3:10
65,163,ATL,2019,2019-10-20,1:00,1:00,Home,LAR,7,7,Sun,L 10-37,,10,37,-27,47,3.0,not covered,54.5,under,22,33,66.7,186,1,1,5,38,78.6,15,38,2.53,0,224,53,4.2264,74,5.1486,3,22:51,3:03
66,164,CIN,2019,2019-10-20,1:00,1:00,Home,JAX,7,7,Sun,L 17-27,,17,27,-10,44,4.0,not covered,44.5,under,22,43,51.2,258,1,3,2,18,48.4,20,33,1.65,1,291,65,4.4769,78,5.8974,4,21:43,3:17
67,165,ARI,2019,2019-10-20,1:00,1:00,Away,NYG,7,7,Sun,W 27-21,,27,21,6,48,3.5,covered,49.5,under,14,21,66.7,89,0,0,2,15,75.3,38,156,4.11,3,245,61,4.0164,65,4.0462,,29:59,3:03
68,166,DET,2019,2019-10-20,1:00,1:00,Home,MIN,7,6,Sun,L 30-42,,30,42,-12,72,2.5,not covered,43.5,over,30,45,66.7,352,4,1,2,12,110.6,20,81,4.05,0,433,67,6.4627,71,7.0986,1,27:50,3:11
69,167,HOU,2019,2019-10-20,1:00,1:00,Away,IND,7,7,Sun,L 23-30,,23,30,-7,53,1.5,not covered,46.5,over,23,34,67.6,291,1,2,3,17,79.4,24,100,4.17,1,391,61,6.4098,67,5.7164,2,27:08,3:10
70,168,MIA,2019,2019-10-20,1:00,1:00,Away,BUF,7,6,Sun,L 21-31,,21,31,-10,52,17.0,covered,42.5,over,23,35,65.7,272,1,1,1,10,86.8,30,109,3.63,2,381,66,5.7727,51,5.9804,2,33:31,3:00
71,169,NOR,2019,2019-10-20,4:25,3:25,Away,CHI,7,7,Sun,W 36-25,,36,25,11,61,4.0,covered,37.0,over,23,38,60.5,273,2,0,1,8,100.0,35,151,4.31,2,424,74,5.7297,63,4.0000,,37:26,3:28
72,170,PHI,2019,2019-10-20,8:20,7:20,Away,DAL,7,7,Sun,L 10-37,,10,37,-27,47,3.0,not covered,50.0,under,16,26,61.5,168,1,1,3,23,77.1,28,115,4.11,0,283,57,4.9649,66,6.0909,4,27:38,3:01
73,171,OAK,2019,2019-10-20,1:00,12:00,Away,GNB,7,6,Sun,L 24-42,,24,42,-18,66,5.5,not covered,48.0,over,24,31,77.4,329,3,1,0,0,129.6,31,155,5.00,0,484,62,7.8065,55,8.7455,2,29:36,2:59
74,172,BAL,2019,2019-10-20,4:25,1:25,Away,SEA,7,7,Sun,W 30-16,,30,16,14,46,3.0,covered,49.0,under,9,20,45.0,141,0,0,1,2,69.0,35,199,5.69,1,340,56,6.0714,68,5.1029,,29:54,3:05
75,173,LAC,2019,2019-10-20,4:05,3:05,Away,TEN,7,7,Sun,L 20-23,,20,23,-3,43,3.0,push,42.5,over,24,38,63.2,326,2,0,1,3,108.0,21,39,1.86,0,365,60,6.0833,61,6.6066,1,27:45,3:10
76,174,WAS,2019,2019-10-20,1:00,1:00,Home,SFO,7,7,Sun,L 0-9,,0,9,-9,9,10.0,covered,39.0,under,9,12,75.0,50,0,0,3,27,81.9,26,104,4.00,0,154,41,3.7561,62,4.5645,1,26:36,2:36
77,175,DEN,2019,2019-10-17,8:20,6:20,Home,KAN,7,7,Thu,L 6-30,,6,30,-24,36,3.0,not covered,49.5,under,21,34,61.8,134,0,0,9,79,70.0,21,71,3.38,1,205,64,3.2031,58,4.6724,1,27:47,2:53
78,176,DET,2019,2019-10-14,8:15,7:15,Away,GNB,6,5,Mon,L 22-23,,22,23,-1,45,3.5,covered,47.0,under,18,32,56.3,243,0,0,3,22,80.6,20,56,2.80,1,299,55,5.4364,69,6.4783,,26:56,3:06
79,177,CIN,2019,2019-10-13,1:00,1:00,Away,BAL,6,6,Sun,L 17-23,,17,23,-6,40,10.5,covered,47.0,under,21,39,53.8,217,0,1,2,18,59.5,14,33,2.36,1,250,55,4.5455,77,6.4545,1,20:18,3:12
80,178,ARI,2019,2019-10-13,4:05,2:05,Home,ATL,6,6,Sun,W 34-33,,34,33,1,67,3.0,covered,52.5,over,27,37,73.0,340,3,0,0,0,128.2,29,102,3.52,1,442,66,6.6970,63,7.0476,,27:13,3:07
81,179,HOU,2019,2019-10-13,1:00,12:00,Away,KAN,6,6,Sun,W 31-24,,31,24,7,55,3.5,covered,54.5,over,30,42,71.4,280,1,2,0,0,77.5,41,192,4.68,3,472,83,5.6867,47,6.5745,3,39:48,3:07
82,180,MIA,2019,2019-10-13,1:00,1:00,Home,WAS,6,5,Sun,L 16-17,,16,17,-1,33,6.0,covered,42.0,under,27,43,62.8,187,1,2,5,30,60.9,21,84,4.00,1,271,69,3.9275,58,5.3621,2,32:39,3:09
84,181,NOR,2019,2019-10-13,1:00,1:00,Away,JAX,6,6,Sun,W 13-6,,13,6,7,19,2.5,covered,42.5,under,24,36,66.7,222,1,0,3,18,92.6,26,104,4.00,0,326,65,5.0154,55,4.1091,,33:09,2:52
85,182,NYJ,2019,2019-10-13,4:25,4:25,Home,DAL,6,5,Sun,W 24-22,,24,22,2,46,7.0,covered,43.5,over,23,32,71.9,326,2,1,2,12,112.2,20,56,2.80,1,382,54,7.0741,75,5.3200,1,27:57,2:59
86,183,TEN,2019,2019-10-13,4:25,2:25,Away,DEN,6,6,Sun,L 0-16,,0,16,-16,16,1.0,not covered,41.0,under,20,34,58.8,165,0,3,7,42,34.6,21,39,1.86,0,204,62,3.2903,59,4.5763,3,30:14,2:55
87,184,PHI,2019,2019-10-13,1:00,3:00,Away,MIN,6,6,Sun,L 20-38,,20,38,-18,58,3.5,not covered,44.0,over,26,41,63.4,292,2,2,2,14,80.5,22,108,4.91,0,400,65,6.1538,65,6.8769,3,27:56,3:07
88,185,PIT,2019,2019-10-13,8:20,5:20,Away,LAC,6,6,Sun,W 24-17,,24,17,7,41,6.0,covered,42.5,under,15,20,75.0,132,1,1,0,0,87.9,36,124,3.44,1,256,56,4.5714,59,5.8983,1,34:05,2:55
89,186,SEA,2019,2019-10-13,1:00,1:00,Away,CLE,6,6,Sun,W 32-28,,32,28,4,60,1.0,covered,45.5,over,23,33,69.7,284,2,0,3,11,116.2,38,170,4.47,2,454,74,6.1351,61,6.6557,1,33:41,3:31
90,187,SFO,2019,2019-10-13,4:05,1:05,Away,LAR,6,5,Sun,W 20-7,,20,7,13,27,3.0,covered,49.5,under,24,33,72.7,232,0,1,2,11,79.4,41,99,2.41,2,331,76,4.3553,50,3.1400,2,38:52,3:11
91,188,TAM,2019,2019-10-13,9:30,2:30,Home,CAR,6,6,Sun,L 26-37,,26,37,-11,63,2.0,not covered,48.5,over,30,54,55.6,365,1,5,7,35,44.1,14,42,3.00,2,407,75,5.4267,63,4.2540,7,28:50,3:26
92,189,NYG,2019,2019-10-10,8:20,8:20,Away,NWE,6,6,Thu,L 14-35,,14,35,-21,49,16.5,not covered,43.0,over,15,31,48.4,161,1,3,1,0,35.2,16,52,3.25,0,213,48,4.4375,78,5.4744,4,20:24,3:02
93,190,CLE,2019,2019-10-07,8:15,5:15,Away,SFO,5,5,Mon,L 3-31,,3,31,-28,34,5.0,not covered,47.5,under,9,24,37.5,78,0,2,4,42,12.2,18,102,5.67,0,180,46,3.9130,71,6.2817,4,22:17,2:57
94,191,ATL,2019,2019-10-06,1:00,12:00,Away,HOU,5,5,Sun,L 32-53,,32,53,-21,85,4.0,not covered,49.0,over,32,46,69.6,316,3,1,2,14,101.4,20,57,2.85,1,373,68,5.4853,67,8.8358,1,29:00,3:13
95,192,BUF,2019,2019-10-06,1:00,12:00,Away,TEN,5,5,Sun,W 14-7,,14,7,7,21,3.5,covered,39.5,under,23,32,71.9,204,2,1,4,15,96.4,27,109,4.04,0,313,63,4.9683,54,4.6667,1,31:12,2:54
96,193,IND,2019,2019-10-06,8:20,7:20,Away,KAN,5,5,Sun,W 19-13,,19,13,6,32,10.5,covered,55.5,under,18,29,62.1,151,0,1,0,0,61.1,45,180,4.00,1,331,74,4.4730,57,5.6842,1,37:15,3:15
97,194,ARI,2019,2019-10-06,1:00,1:00,Away,CIN,5,5,Sun,W 26-23,,26,23,3,49,3.0,covered,45.0,over,20,32,62.5,248,0,0,1,5,86.5,38,266,7.00,2,514,71,7.2394,62,5.9677,,31:03,3:03
98,195,DEN,2019,2019-10-06,4:05,1:05,Away,LAC,5,5,Sun,W 20-13,,20,13,7,33,4.0,covered,46.0,under,14,20,70.0,159,1,1,3,23,89.4,32,191,5.97,1,350,55,6.3636,64,3.8438,2,29:36,3:03
99,196,GNB,2019,2019-10-06,4:25,3:25,Away,DAL,5,5,Sun,W 34-24,,34,24,10,58,3.5,covered,46.5,over,22,34,64.7,215,0,0,2,23,82.4,29,120,4.14,4,335,65,5.1538,68,8.2794,,36:43,3:31
100,197,JAX,2019,2019-10-06,1:00,1:00,Away,CAR,5,5,Sun,L 27-34,,27,34,-7,61,3.0,not covered,41.0,over,26,44,59.1,358,2,0,2,16,100.4,31,149,4.81,1,507,77,6.5844,61,7.2951,3,32:24,3:28
