,rk,team1,year,date,time,local_time,home_away,team2,Week,Game_Number,day,win1?,OT,points_1,points_2,point_differential,combined_points,spread,team1_covered_spread?,over_under,over_under_result?,pass_completions1,pass_attempts1,completion_percentage1,passing_yards1,passing_touchdowns1,interceptions1,times_sacked1,sack_yards_lost1,qbr1,rushing_attempts1,rushing_yards1,rushing_yards_per_attempt1,rushing_touchdowns1,total_yards1,offensive_plays1,yards_per_play_offense1,defensive_plays1,yards_allowed_per_defensive_play1,turnovers_lost1,time_of_possession1,game_duration
23,23,OAK,2019,2019-12-29,4:25,2:25,Away,DEN,17,16,Sun,L 15-16,,15,16,-1,31,5.5,covered,41.5,under,29,46,63.0,380,1,0,2,11,96.3,22,97,4.41,0,477,70,6.8143,57,4.1754,1,33:00,3:22
24,24,BAL,2019,2019-12-29,4:25,4:25,Home,PIT,17,16,Sun,W 28-10,,28,10,18,38,2.0,covered,35.0,over,11,21,52.4,81,0,1,3,15,42.0,44,223,5.07,1,304,68,4.4706,50,3.3600,2,39:27,3:02
25,25,LAC,2019,2019-12-29,1:00,12:00,Away,KAN,17,16,Sun,L 21-31,,21,31,-10,52,10.0,push,46.0,over,31,46,67.4,258,2,2,3,23,78.0,25,108,4.32,1,366,74,4.9459,48,7.0000,2,36:04,3:03
26,26,SEA,2019,2019-12-29,8:20,5:20,Home,SFO,17,16,Sun,L 21-26,,21,26,-5,47,3.5,not covered,47.0,push,25,40,62.5,223,2,0,1,10,94.1,30,125,4.17,1,348,71,4.9014,48,8.2917,,32:56,3:05
27,27,WAS,2019,2019-12-29,4:25,3:25,Away,DAL,17,16,Sun,L 16-47,,16,47,-31,63,12.5,not covered,47.5,over,18,37,48.6,183,1,1,2,23,61.0,20,88,4.40,0,271,59,4.5932,72,7.1806,2,25:45,3:14
28,28,GNB,2019,2019-12-23,8:15,10:15,Away,MIN,16,15,Mon,W 23-10,,23,10,13,33,4.0,covered,47.0,under,26,40,65.0,199,0,1,3,17,66.6,32,184,5.75,2,383,75,5.1067,53,2.6226,3,37:32,3:09
29,29,CAR,2019,2019-12-22,1:00,1:00,Away,IND,16,15,Sun,L 6-38,,6,38,-32,44,7.5,not covered,46.0,under,28,45,62.2,199,0,3,5,37,44.6,21,87,4.14,0,286,71,4.0282,62,5.2258,3,32:21,3:02
30,30,CHI,2019,2019-12-22,8:20,7:20,Home,KAN,16,15,Sun,L 3-26,,3,26,-23,29,6.5,not covered,45.5,under,18,34,52.9,133,0,0,3,24,62.5,22,101,4.59,0,234,59,3.9661,63,5.5556,,26:36,2:47
31,31,CLE,2019,2019-12-22,1:00,1:00,Home,BAL,16,15,Sun,L 15-31,,15,31,-16,46,9.5,not covered,48.5,under,20,33,60.6,184,2,1,1,8,83.4,19,57,3.00,0,241,53,4.5472,71,6.7746,1,25:41,3:05
32,32,ARI,2019,2019-12-22,4:25,1:25,Away,SEA,16,15,Sun,W 27-13,,27,13,14,40,8.0,covered,51.0,under,15,27,55.6,159,1,0,2,8,85.3,40,253,6.33,2,412,69,5.9710,56,4.0000,,34:53,3:18
